,order_date,order_day_of_week,store,supplier_id,category,product_case_pack,retail_price,replenishment_unit_cost,Ao_Forecast_Quantity,Minimum_Order_Quantity,Maximum_Order_Quantity,lead_time,suggested_order_quantity,actual_order_quantity,balance,year,month,day
2110,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.1268382352941178,8,3.5,12.4,3.983333,2,15,4,1,1,0.625,1.8428845020624631,1.5801192842942346,1.6868217054263566
2111,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,8.82,28.740403999999998,1,100,4,2,2,3.5,1.8428845020624631,1.5801192842942346,1.6868217054263566
2112,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.0740740740740742,6,2.5,7.08,2.1,2,60,4,1,1,0.666666,1.8428845020624631,1.5801192842942346,1.6868217054263566
2113,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,9.12,39.321969,3,200,4,5,5,3.0,1.8428845020624631,1.5801192842942346,1.6868217054263566
2114,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.0740740740740742,8,1.95,8.56,7.65,2,20,4,1,1,0.875,1.8428845020624631,1.5801192842942346,1.6868217054263566
2115,2017-05-24,1.8335139039364392,1.784480082772892,2.2366281557552417,2.3254901960784315,8,2.95,6.353,32.0,2,200,2,3,3,1.625,1.8428845020624631,1.5801192842942346,1.6915077989601386
2116,2017-05-24,1.8335139039364392,1.784480082772892,2.2366281557552417,1.7796101949025487,4,6.1,10.47,0.4,3,50,2,1,1,0.5,1.8428845020624631,1.5801192842942346,1.6915077989601386
2117,2017-05-24,1.8335139039364392,1.784480082772892,2.2366281557552417,2.3821138211382116,6,4.95,10.04,18.5,3,100,2,2,2,1.833333,1.8428845020624631,1.5801192842942346,1.6915077989601386
2118,2017-05-24,1.8335139039364392,1.784480082772892,2.2366281557552417,2.3821138211382116,6,4.95,10.036,13.5,3,100,2,1,1,1.833333,1.8428845020624631,1.5801192842942346,1.6915077989601386
2119,2017-05-26,1.8294162244124337,1.784480082772892,1.2464788732394365,1.1020408163265305,16,2.6,15.020999999999999,7.1,5,50,1,1,1,0.4375,1.8428845020624631,1.5801192842942346,2.0089126559714794
2120,2017-05-26,1.8294162244124337,1.784480082772892,1.2464788732394365,1.0000000002119616,20,3.5,27.06,9.2,5,30,1,1,1,0.6,1.8428845020624631,1.5801192842942346,2.0089126559714794
2121,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,1.5092783505154639,10,2.4,6.5,6.35,4,60,3,1,1,0.9,1.8428845020624631,1.5801192842942346,2.0089126559714794
2122,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,9.12,37.933587,1,100,3,2,2,5.166666,1.8428845020624631,1.5801192842942346,2.0089126559714794
2123,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,9.12,42.297728,3,200,3,3,3,4.5,1.8428845020624631,1.5801192842942346,2.0089126559714794
2124,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,1.1039697542533082,6,2.2,4.44,5.507576,2,50,3,1,1,0.666666,1.8428845020624631,1.5801192842942346,2.0089126559714794
2125,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,8.82,33.377272,1,100,3,3,2,3.666666,1.8428845020624631,1.5801192842942346,2.0089126559714794
2126,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,1.1268382352941178,8,3.5,12.4,7.053030000000001,2,15,3,1,1,1.0,1.8428845020624631,1.5801192842942346,2.0089126559714794
2127,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,1.1030701754385965,4,2.5,3.76,1.65,3,20,3,1,1,1.0,1.8428845020624631,1.5801192842942346,2.0089126559714794
2128,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,1.5092783505154639,6,2.95,5.82,2.0,2,50,3,1,1,0.0,1.8428845020624631,1.5801192842942346,2.0089126559714794
2129,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,1.0740740740740742,8,1.95,8.56,3.05,2,40,3,1,1,0.5,1.8428845020624631,1.5801192842942346,2.0089126559714794
2130,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,1.1036106750392465,6,2.5,6.12,7.0,1,50,3,1,1,0.666666,1.8428845020624631,1.5801192842942346,2.0089126559714794
2131,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,1.1036106750392465,16,1.5,6.48,8.7,0,1,3,1,1,-0.0625,1.8428845020624631,1.5801192842942346,2.0089126559714794
2132,2017-05-26,1.8294162244124337,1.784480082772892,1.5733957219251338,1.0503597122302157,16,2.8,20.96,0.7,2,48,3,1,1,0.0,1.8428845020624631,1.5801192842942346,2.0089126559714794
2133,2017-05-27,1.641095890410959,1.784480082772892,2.2366281557552417,1.97098976109215,4,5.95,8.25,8.472728,2,30,2,2,2,1.5,1.8428845020624631,1.5801192842942346,1.7162726008344924
2134,2017-05-27,1.641095890410959,1.784480082772892,2.2366281557552417,1.7796101949025487,4,6.1,11.1,14.960606,3,50,2,4,3,1.25,1.8428845020624631,1.5801192842942346,1.7162726008344924
2135,2017-05-27,1.641095890410959,1.784480082772892,2.2366281557552417,1.7796101949025487,4,6.1,10.47,7.2,3,50,2,1,1,1.75,1.8428845020624631,1.5801192842942346,1.7162726008344924
2136,2017-05-27,1.641095890410959,1.784480082772892,2.2366281557552417,1.97098976109215,4,5.95,8.25,4.4,1,10,2,1,1,0.75,1.8428845020624631,1.5801192842942346,1.7162726008344924
2137,2017-05-27,1.641095890410959,1.784480082772892,1.8197978002444173,5.3640081799591,6,1.5,2.98,52.411615999999995,24,400,3,4,4,8.833333,1.8428845020624631,1.5801192842942346,1.7162726008344924
2138,2017-05-27,1.641095890410959,1.784480082772892,1.8197978002444173,2.1217038539553754,12,2.2,10.68,40.395959999999995,24,100,3,1,1,5.0,1.8428845020624631,1.5801192842942346,1.7162726008344924
2139,2017-05-27,1.641095890410959,1.784480082772892,1.8197978002444173,2.656050955414013,12,2.2,7.28,37.261278999999995,24,300,3,2,2,3.583333,1.8428845020624631,1.5801192842942346,1.7162726008344924
2140,2017-05-27,1.641095890410959,1.784480082772892,1.8197978002444173,3.0350877192982457,24,2.2,14.352,98.371717,72,800,3,3,3,4.5,1.8428845020624631,1.5801192842942346,1.7162726008344924
2141,2017-05-27,1.641095890410959,1.784480082772892,1.8197978002444173,2.656050955414013,12,2.2,7.8,14.4,12,150,3,1,2,2.0,1.8428845020624631,1.5801192842942346,1.7162726008344924
